Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
CEPQ.S2381,2006.12,1076,FINAL,Index,Capital Goods Price Index - CEP,"Price Index by Item - Plant, Machinery and Equipment (Base: Sept 1999 = 1000)",Furniture,,,,
CEPQ.S2381,2007.03,1088,FINAL,Index,Capital Goods Price Index - CEP,"Price Index by Item - Plant, Machinery and Equipment (Base: Sept 1999 = 1000)",Furniture,,,,
CEPQ.S2381,2007.06,1099,FINAL,Index,Capital Goods Price Index - CEP,"Price Index by Item - Plant, Machinery and Equipment (Base: Sept 1999 = 1000)",Furniture,,,,
CEPQ.S2381,2007.09,1115,FINAL,Index,Capital Goods Price Index - CEP,"Price Index by Item - Plant, Machinery and Equipment (Base: Sept 1999 = 1000)",Furniture,,,,
CEPQ.S2381,2007.12,1131,FINAL,Index,Capital Goods Price Index - CEP,"Price Index by Item - Plant, Machinery and Equipment (Base: Sept 1999 = 1000)",Furniture,,,,
CEPQ.S2381,2008.03,1180,FINAL,Index,Capital Goods Price Index - CEP,"Price Index by Item - Plant, Machinery and Equipment (Base: Sept 1999 = 1000)",Furniture,,,,
CEPQ.S2381,2008.06,1188,FINAL,Index,Capital Goods Price Index - CEP,"Price Index by Item - Plant, Machinery and Equipment (Base: Sept 1999 = 1000)",Furniture,,,,
CEPQ.S2381,2008.09,1263,FINAL,Index,Capital Goods Price Index - CEP,"Price Index by Item - Plant, Machinery and Equipment (Base: Sept 1999 = 1000)",Furniture,,,,
CEPQ.S2381,2008.12,1272,FINAL,Index,Capital Goods Price Index - CEP,"Price Index by Item - Plant, Machinery and Equipment (Base: Sept 1999 = 1000)",Furniture,,,,
CEPQ.S2381,2009.03,1281,FINAL,Index,Capital Goods Price Index - CEP,"Price Index by Item - Plant, Machinery and Equipment (Base: Sept 1999 = 1000)",Furniture,,,,
CEPQ.S2381,2009.06,1306,FINAL,Index,Capital Goods Price Index - CEP,"Price Index by Item - Plant, Machinery and Equipment (Base: Sept 1999 = 1000)",Furniture,,,,
